WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	NO3_ugl	Nitrogen, Nitrate (NO3) as N		1	ug/l	""		0.001	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Turb_ntu	Turbidity		3.2	NTU	""		3.2	NTU
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Turb_ntu	Turbidity		3.3	NTU	""		3.3	NTU
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Turb_ntu	Turbidity		3.8	NTU	""		3.8	NTU
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Chla_ugl	Chlorophyll a, uncorrected for pheophytin		4.4	ug/l	""		4.4	ug/l
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	DO_mgl	Dissolved oxygen (DO)		7.8	mg/l	""		7.8	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	pH	pH		7.8	None	""		7.8	NONE
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	NO2_ugl	Nitrogen, Nitrite (NO2) as N		10	ug/l	""		0.01	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N		11	ug/l	""		0.011	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Color_true_pcu	True Color		12	PCU	""		12	NONE
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	NO2_ugl	Nitrogen, Nitrite (NO2) as N		13	ug/l	""		0.013	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	TP_ugl	Phosphorus as P		36	ug/l	""		0.036	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	OP_mgl	Phosphorus, phosphate (PO4) as P		0.02	mg/l	""		0.02	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Chla_ugl	Chlorophyll a, uncorrected for pheophytin		4.3	ug/l	""		4.3	ug/l
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Color_true_pcu	True Color		11	PCU	""		11	NONE
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	NO2_ugl	Nitrogen, Nitrite (NO2) as N		14	ug/l	""		0.014	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	TP_ugl	Phosphorus as P		28	ug/l	""		0.028	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Alk_CaCO3_mgl	Alkalinity, Total (total hydroxide+carbonate+bicarbonate)		30.1	mg/l CaCO3	""		30.1	mg/l
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	TP_ugl	Phosphorus as P		33	ug/l	""		0.033	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	TempW_C	Temperature, water		24.5	deg C	""		24.5	C
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Cond_umhocm	Specific conductance		298	umho	""		298	umhoscm
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl		910	ug/l	""		0.91	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	TN_ugl	Nitrogen		930	ug/l	""		0.93	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl		970	ug/l	""		0.97	mg/L
160715	Eagle Lake	POLKCO_NRD_WQ	="EAGLE"		="Eagle"	27.98357281	-81.76775381	1623M	4/23/1985 12:00:00 AM	0.5	m	Chla_ugl	Chlorophyll a, uncorrected for pheophytin		4.7	ug/l	""		4.7	ug/l
