WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	Alk_CaCO3_mgl	Alkalinity, Total (total hydroxide+carbonate+bicarbonate)		78	mg/l CaCO3	""		78	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	Ca_mgl	Calcium	Dissolved	30.3	mg/l	""		30.3	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	Cl_mgl	Chloride	Dissolved	36.4	mg/l	""		36.4	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	hardness_mglCaCO3	Hardness, Ca + Mg		104.6	mg/l CaCO3	""		104.6	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	Fe_ugl	Iron	Total	337	ug/l	""		337	ug/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	Mg_mgl	Magnesium	Dissolved	7	mg/l	""		7	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	NH3_N_ugl	Nitrogen, ammonia as N	Dissolved	9	ug/l	"I"		0.009	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	3180	ug/l	""		3.18	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	5	ug/l	"U"		0.005	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	284	ug/l	""		0.284	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/6/2016 10:45:00 AM	0.5	m	OP_mgl	Phosphorus, phosphate (PO4) as P	Dissolved	0.057	mg/l	""		0.057	mg/L
