WBodyID	WaterBodyName	DataSource	Actual_StationID	StationID	StationName	Actual_Latitude	Actual_Longitude	ActivityDepth	SampleDate	Alk_CaCO3_mgl	Alk_CaCO3_mgl_QA	Anatoxin_ugl	Anatoxin_ugl_QA	C_organic_mgl	C_organic_mgl_QA	Ca_mgl	Ca_mgl_QA	Chla_ugl	Chla_ugl_QA	ChlaC_ugl	ChlaC_ugl_QA	chlb_ugl	chlb_ugl_QA	Cl_mgl	Cl_mgl_QA	Color_true_pcu	Color_true_pcu_QA	Cond_umhocm	Cond_umhocm_QA	DO_mgl	DO_mgl_QA	DO_percent	DO_percent_QA	Ecoli_100ml	Ecoli_100ml_QA	F_mgl	F_mgl_QA	Fe_ugl	Fe_ugl_QA	hardness_mglCaCO3	hardness_mglCaCO3_QA	K_mgl	K_mgl_QA	Mg_mgl	Mg_mgl_QA	Na_mgl	Na_mgl_QA	NH3_N_ugl	NH3_N_ugl_QA	NO2_ugl	NO2_ugl_QA	NOx_ugl	NOx_ugl_QA	OP_mgl	OP_mgl_QA	pH	pH_QA	Pheo_ugl	Pheo_ugl_QA	Salinity_ppt	Salinity_ppt_QA	Salinity_PSS	Salinity_PSS_QA	Secchi_m	Secchi_m_QA	Si_ugl	Si_ugl_QA	SO4_mgl	SO4_mgl_QA	TDS_mgl	TDS_mgl_QA	TempW_C	TempW_C_QA	TempW_Ce	TempW_Ce_QA	TKN_ugl	TKN_ugl_QA	TN_ugl	TN_ugl_QA	TP_ugl	TP_ugl_QA	TSI	TSI_QA	TSS_mgl	TSS_mgl_QA	Turb_ntu	Turb_ntu_QA	VSS_mgl	VSS_mgl_QA
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	6/20/2016 10:47:00 AM	97				11.2														357		7.11																		24				22		0.044		7.9																28.6		28.6		1200		1222		172				31	I	66			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	7/6/2016 9:42:00 AM	74				12.4		29.8				22.5				32.6				297		5.23								306		102.1		4.2		6.7		19.2		64				84		0.026		8		3.64										16.1				30.8		30.8		1340		1424		96		63		13	I	11.3			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/6/2016 10:45:00 AM	78						30.3								36.4				322		4.08								337		104.6		4.4		7		19.5		9	I			5	U	0.057		7.9												19.5				30.5		30.5		3180		3185		284				49	I	42.7			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/6/2016 10:50:00 AM																																											13																								1320		1333		142									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/8/2016 5:17:00 PM																																																																							301									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/13/2016 11:14:00 AM																																											15																								1070		1085		139									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/13/2016 1:00:00 PM																																																																							157									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	7/18/2016 8:43:00 AM	75				13.3						25.8								301		5.48																		83				43		0.033		8		1.58														30.1		30.1		1270		1313		121		64		19	I	16.6			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/18/2016 10:34:00 AM	84																		336		4.56																		94				159		0.073		7.8																30.1		30.1		1070		1229		143				17	I	22.4			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/20/2016 7:47:00 AM																																											233																								1010		1243		138									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/20/2016 11:08:00 AM																																																																							129									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/27/2016 7:44:00 AM																																											235																								1140		1375		143									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	7/27/2016 11:18:00 AM																																																																							112									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	8/1/2016 9:52:00 AM	91				11.8						34.2								363		6.8																		54				59		0.012		8.5		4.13														30.4		30.4		1400		1459		109		66		20		19.4			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/1/2016 10:45:00 AM	86																		344		6.79																		14				5	I	0.017		8.7																30		30		1500		1505		111				18		16.7			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/3/2016 8:35:00 AM																																											134																								1280		1414		110									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/3/2016 11:51:00 AM																																																																							66									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/10/2016 7:51:00 AM																																											105																								1280		1385		97									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	8/15/2016 10:03:00 AM	82				13.4						50.5								333		7.09																		18	G			9	I	0.003	I	8.5		2.54														30		30		1470		1479		89		68		16	I	16.1			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/15/2016 11:20:00 AM	86																		349		5.46																		40	G			194		0.036		8.1																29.3		29.3		1160		1354		112				17		17.8			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/17/2016 9:02:00 AM																																											183																								1110		1293		112									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/22/2016 2:24:00 PM																																																																							141									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/24/2016 8:08:00 AM																																											21	G																							1130		1151		106									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/24/2016 11:55:00 AM																																																																							126									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	8/29/2016 9:07:00 AM	97				11.8						39.3								450		4.62																		30				95		0.043		7.6		2.55														28.1		28.1		1180		1275		117		67		14		9.2			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/29/2016 10:12:00 AM	96																		398		4.89																		58				173		0.059		7.2																29.1		29.1		1120		1293		145				31		8.4			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	8/31/2016 8:11:00 AM																																											321																								1040		1361		134									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/1/2016 2:19:00 PM																																																																							133									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/7/2016 8:04:00 AM																																											127																								1120		1247		112									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/10/2016 3:42:00 AM																																																																							128									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	9/12/2016 9:10:00 AM	89				11.5						31.9								360		6.07																		32				205		0.024		7.8		2.64														28.6		28.6		1130		1335		120		66		25		19.3			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/12/2016 9:46:00 AM	90																		366		6.03																		49				184		0.05		7.8																28.8		28.8		840		1024		112				13	I	14.2			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/14/2016 7:29:00 AM																																											281																								1010		1291		118									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/15/2016 8:19:00 AM																																																																							120									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/21/2016 9:35:00 AM																																											70																								1060		1130		106									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/21/2016 11:33:00 AM																																																																							115									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	9/26/2016 8:41:00 AM	94				11.5		34.7				22.7				38.7				354		5.24								330		118.4		4.7		7.7		22.1		37	G			34		0.013		8.1		1.66										19.8				29.1		29.1		1060		1094		80		61		14		10.4			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/26/2016 9:34:00 AM	96						35.2								39.1				366		3.24								212		120		4.7		7.8		21.9		122				106		0.071		7.9												20.1				29.6		29.6		980		1086		112				6	I	6.9			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/28/2016 7:54:00 AM																																											111																								930		1041		100									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	9/28/2016 1:25:00 PM																																																																							106									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/8/2016 9:48:00 AM																			370		6.98																										8								0.1								26.7		26.7						231						120			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	10/10/2016 8:28:00 AM	101				10.9						27.2								358		7.56																		20				270		0.05		8.1		3.74														26.7		26.7		1490		1760		193		68		79		75.1			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/10/2016 9:08:00 AM	111																		366		7.61																		18				333		0.029		8.3																26.4		26.4		1250		1583		207				90		96.4			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/12/2016 8:54:00 AM																																											301																								1630		1931		208									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/17/2016 7:28:00 AM																			369		7																										8.4								0.15								25.7		25.7						136						47.6			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/18/2016 11:14:00 AM																																																																							149									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/19/2016 7:45:00 AM																																											308	G																							950		1258		120									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/19/2016 8:26:00 AM																																																																							170									
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/24/2016 10:59:00 AM	113																		372		8.16																		18	G			390		0.041		8.2																23.2		23.2		1020		1410		264				119		127			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17625"	="17625"		26.9849	-80.6214	0.5	10/24/2016 11:35:00 AM	110				10.7						12								373		7.84																		19	G			420		0.043		8.2		2.01														23.4		23.4		1780		2200		273		64		114		126			
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"	="17766"		26.8641	-80.6324	0.5	10/26/2016 7:39:00 AM																																											358																								1280		1638		160									
